ComponenteCurricular;Eixo;UTE;SABER;APR
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter).";"Reconhecer o outro e a si mesmo."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter).";"Perceber as diferenças e semelhanças entre si e o outro."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter).";"Formular um sentido de si mesmo reconhecendo suas emoções, predileções, ideias, opiniões etc."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter).";"Fortalecer a imagem positiva de si."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter).";"Expressar-se por meio do brincar e de seus comportamentos diários."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter).";"Participar e elaborar jogos e brincadeiras."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter).";"Vivenciar diferentes papéis, como os de liderança e cooperação em jogos e brincadeiras."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter).";"Reformular jogos e brincadeiras em diferentes situações."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter).";"Identificar diferenças e semelhanças entre sua história e a de outras pessoas e as de outros grupos sociais."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter).";"Reconhecer diferentes aspectos das identidades (étnicos, raciais, sociais, econômicos, religiosos, culturais, de gênero e sexuais)."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter).";"Respeitar as diferentes individualidades e interseccionalidades acolhendo as semelhanças e diferenças entre o eu, o outro e o nós."
